Row#,Name,dwGroup,wTableIndex,Mod1,Mod2,Mod3,wIType1,wIType2,wIType3,wIType4,wIType5,wIType6,wIType7,wEType1,wEType2,wEType3,wEType4,wEType5
0,'of Health',0x1,0x72D,0x3::(0)[1],,,0x3,0x25,0x33,0xA,0xC,,,,,,0xFFFF,0xFFFF
1,'of Protection',0x1,0x72E,0x3::(0)[2],,,0xA,0xC,,,,,,,,,0xFFFF,0xFFFF
2,'of Absorption',0x1,0x72F,0x3::(0)[3],,,0xC,,,,,,,,,,0xFFFF,0xFFFF
3,'of Life',0x1,0x770,0x3::(0)[4],,,0xC,,,,,,,,,,0xFFFF,0xFFFF
5,'of Warding',0x2,0x730,0x6::(0)[1],,,0x3,0x25,0x33,0xA,0xC,,,,,,0xFFFF,0xFFFF
6,'of the Sentinel',0x2,0x731,0x6::(0)[2],,,0xA,0xC,,,,,,,,,0xFFFF,0xFFFF
7,'of Guarding',0x2,0x732,0x6::(0)[3],,,0xC,,,,,,,,,,0xFFFF,0xFFFF
8,'of Negation',0x2,0x733,0x6::(0)[4],,,0xC,,,,,,,,,,0xFFFF,0xFFFF
10,'of Piercing',0x3,0x734,0x5C::(0)[1],,,0x37,,,,,,,,,,0xFFFF,0xFFFF
11,'of Bashing',0x4,0x735,0x61::(0)[4294967271.4294967256],,,0x2E,,,,,,,0x19,0x1A,,0xFFFF,0xFFFF
12,'of Puncturing',0x4,0x736,0x61::(0)[4294967286.4294967276],,,0x2E,,,,,,,0x19,0x1A,,0xFFFF,0xFFFF
13,'of Thorns',0x5,0x737,0x36::(0)[1.3],,,0x3,0x25,0x33,0x13,,,,,,,0xFFFF,0xFFFF
14,'of Spikes',0x5,0x738,0x36::(0)[2.6],,,0x3,0x25,0x33,0x13,,,,,,,0xFFFF,0xFFFF
15,'of Readiness',0x6,0x739,0x37::(0)[10],,,0x2D,0x10,,,,,,,,,0xFFFF,0xFFFF
16,'of Alacrity',0x6,0x73A,0x38::(0)[20],,,0x2D,,,,,,,,,,0xFFFF,0xFFFF
17,'of Swiftness',0x6,0x73B,0x38::(0)[30],,,0x2E,,,,,,,0x19,0x1A,,0xFFFF,0xFFFF
18,'of Quickness',0x6,0x73C,0x39::(0)[40],,,0x2E,,,,,,,0x19,0x1A,,0xFFFF,0xFFFF
19,'of Blocking',0x7,0x73D,0x10::(0)[10],,,0x33,,,,,,,,,,0xFFFF,0xFFFF
20,'of Deflecting',0x7,0x73E,0x10::(0)[20],,,0x33,,,,,,,,,,0xFFFF,0xFFFF
21,'of the Apprentice',0x8,0x73F,0x55::(0)[10],,,0x37,0xA,0xC,,,,,,,,0xFFFF,0xFFFF
22,'of the Magus',0x8,0x740,0x57::(0)[20],,,0x37,,,,,,,,,,0xFFFF,0xFFFF
23,'of Frost',0x9,0x741,0x11::(0)[1],0x12::(0)[1.4],0x13::(0)[125],0x2D,,,,,,,,,,0xFFFF,0xFFFF
24,'of the Glacier',0x9,0x742,0x11::(0)[4],0x12::(0)[4.12],0x13::(0)[150],0x2E,,,,,,,,,,0xFFFF,0xFFFF
25,'of Frost',0x9,0x741,0x11::(0)[1],0x12::(0)[1.4],0x13::(0)[125],0x13,0xC,,,,,,,,,0xFFFF,0xFFFF
26,'of Warmth',0xA,0x743,0x5F::(0)[1],,,0x33,0xF,0x10,0xA,0xC,,,,,,0xFFFF,0xFFFF
27,'of Flame',0xB,0x744,0x14::(0)[1],0x15::(0)[2.6],,0x2D,,,,,,,,,,0xFFFF,0xFFFF
28,'of Fire',0xB,0x745,0x14::(0)[2],0x15::(0)[6.11],,0x2D,,,,,,,,,,0xFFFF,0xFFFF
29,'of Burning',0xB,0x746,0x14::(0)[10],0x15::(0)[10.20],,0x2D,,,,,,,,,,0xFFFF,0xFFFF
30,'of Flame',0xB,0x744,0x14::(0)[1],0x15::(0)[2.6],,0x10,0xA,0xC,,,,,,,,0xFFFF,0xFFFF
31,'of Shock',0xC,0x747,0x16::(0)[1],0x17::(0)[8],,0x2D,,,,,,,,,,0xFFFF,0xFFFF
32,'of Lightning',0xC,0x748,0x16::(0)[1],0x17::(0)[16],,0x2D,,,,,,,,,,0xFFFF,0xFFFF
33,'of Thunder',0xC,0x749,0x16::(0)[1],0x17::(0)[32],,0x2D,,,,,,,,,,0xFFFF,0xFFFF
34,'of Shock',0xC,0x747,0x16::(0)[1],0x17::(0)[8],,0xF,0xA,0xC,0x2D,,,,0x2F,0x37,,0xFFFF,0xFFFF
35,'of Craftsmanship',0xD,0x74A,0x1C::(0)[1.2],,,0x2D,0xA,0xC,,,,,,,,0xFFFF,0xFFFF
36,'of Quality',0xD,0x74B,0x1C::(0)[2],,,0x2D,,,,,,,,,,0xFFFF,0xFFFF
37,'of Maiming',0xD,0x74C,0x1C::(0)[3.4],,,0x2D,,,,,,,,,,0xFFFF,0xFFFF
38,'of Slaying',0xD,0x74D,0x1C::(0)[5.7],,,0x2D,,,,,,,,,,0xFFFF,0xFFFF
39,'of Gore',0xD,0x74E,0x1C::(0)[8.10],,,0x2D,,,,,,,,,,0xFFFF,0xFFFF
40,'of Carnage',0xD,0x74F,0x1C::(0)[11.14],,,0x2D,,,,,,,0x19,0x1A,,0xFFFF,0xFFFF
41,'of Slaughter',0xD,0x750,0x1C::(0)[15.20],,,0x2D,,,,,,,0x19,0x1A,,0xFFFF,0xFFFF
42,'of Maiming',0xD,0x74C,0x1C::(0)[3.4],,,0x33,0xA,0xC,,,,,,,,0xFFFF,0xFFFF
43,'of Worth',0xE,0x751,0x1B::(0)[1],,,0x2D,,,,,,,0x37,,,0xFFFF,0xFFFF
44,'of Measure',0xE,0x752,0x1B::(0)[2],,,0x2D,,,,,,,,,,0xFFFF,0xFFFF
45,'of Excellence',0xE,0x753,0x1B::(0)[3],,,0x2D,0xA,0xC,,,,,,,,0xFFFF,0xFFFF
46,'of Performance',0xE,0x754,0x1B::(0)[4.5],,,0x2D,,,,,,,,,,0xFFFF,0xFFFF
47,'of Measure',0xE,0x752,0x1B::(0)[2],,,0x3,0x25,0xA,0xC,,,,,,,0xFFFF,0xFFFF
48,'of Blight',0xF,0x755,0x18::(0)[8],0x19::(0)[24],0x1A::(0)[75],0x2D,,,,,,,0x18,,,0xFFFF,0xFFFF
49,'of Venom',0xF,0x756,0x18::(0)[16],0x19::(0)[48],0x1A::(0)[75],0x2D,,,,,,,0x18,,,0xFFFF,0xFFFF
50,'of Pestilence',0xF,0x757,0x18::(0)[32],0x19::(0)[72],0x1A::(0)[100],0x2D,,,,,,,0x18,,,0xFFFF,0xFFFF
51,'of Blight',0xF,0x755,0x18::(0)[8],0x19::(0)[24],0x1A::(0)[75],0xA,0xC,,,,,,,,,0xFFFF,0xFFFF
52,'of Dexterity',0x10,0x758,0x8::(0)[1],,,0xA,0xC,,,,,,,,,0xFFFF,0xFFFF
53,'of Dexterity',0x10,0x758,0x8::(0)[1.3],,,0x18,0x2F,0xF,0x10,0xA,0xC,,,,,0xFFFF,0xFFFF
54,'of Skill',0x10,0x759,0x8::(0)[4.6],,,0x18,0x2F,0xF,0x10,0xA,0xC,,,,,0xFFFF,0xFFFF
55,'of Skill',0x10,0x759,0x8::(0)[4.6],,,0x32,,,,,,,0xF,0x10,,0xFFFF,0xFFFF
